"doc_id","sentences","env","soc","gov","action","specificity","cti","CVR","Year","Revenue","Industry","Class","Corporate_structure","Region","Employees","env_soc_ratio"
"doc_2210",33,0.242424242424242,0.515151515151515,0.393939393939394,0,0,NA,32787347,2022,"1588629000","Trade","Large (C+)","Limited Liability Companies","Region Sjælland",180,0.82
"doc_2211",28,0.5,0.25,0.428571428571429,0.5,0.285714285714286,0.571428571428571,71298515,2023,"321146000","Trade","Large (C+)","Limited Liability Companies","Region Hovedstaden",162,1.2
"doc_2212",2,0,0.5,0.5,NA,NA,NA,41488972,2021,"NULL","Agriculture","Small (A-B)","Limited Liability Companies","Region Hovedstaden",0,0.666666666666667
"doc_2213",29,0,0.724137931034483,0.103448275862069,NA,NA,NA,34600082,2021,"4457695000","Trade","Unknown","Limited Liability Companies","Region Nordjylland",NA,0.58
"doc_2214",8,0.25,0.25,0.25,0.5,0,1,40407960,2022,"NULL","Trade","Large (C+)","Limited Liability Companies","Region Hovedstaden",NA,1
"doc_2215",27,0.481481481481481,0.555555555555556,0.185185185185185,0.692307692307692,0,1,34693919,2020,"313614000","Services","Large (C+)","Limited Liability Companies","Region Hovedstaden",591,0.952380952380952
"doc_2216",7,0,1,0,NA,NA,NA,12828195,2023,"NULL","Manufacturing","Small (A-B)","Limited Liability Companies","Region Nordjylland",37,0.5
"doc_2217",20,0.7,0.4,0.25,0.571428571428571,0.214285714285714,0.625,25490762,2021,"2464221000","Knowledge Services","Large (C+)","Limited Liability Companies","Region Syddanmark",1644,1.21428571428571
"doc_2218",30,0.366666666666667,0.6,0.3,0,0,NA,11350356,2020,"3430000000","Manufacturing","Large (C+)","Limited Liability Companies","Region Hovedstaden",1031,0.854166666666667
"doc_2219",34,0.411764705882353,0.441176470588235,0.147058823529412,0.5,0,1,29973334,2023,"491606000","Information and Communication","Large (C+)","Limited Liability Companies","Region Hovedstaden",250,0.979591836734694
"doc_222",16,0.1875,0.4375,0.5,0.666666666666667,0,1,27335675,2022,"363477000","Real Estate","Large (C+)","Limited Liability Companies","Region Hovedstaden",270,0.826086956521739
"doc_2220",10,0.6,0.5,0.3,0,0,NA,33051034,2023,"143498232","Information and Communication","Medium (C)","Limited Liability Companies","Region Hovedstaden",44,1.06666666666667
"doc_2221",14,0.142857142857143,0.642857142857143,0.428571428571429,0,0,NA,25349997,2022,"NULL","Services","Medium (C)","Limited Liability Companies","Region Hovedstaden",734,0.695652173913043
"doc_2222",6,0.5,0.333333333333333,0.333333333333333,0.333333333333333,0,1,37857769,2020,"1415574000","Finance and Insurance","Unknown","Limited Liability Companies","Region Syddanmark",1163,1.125
"doc_2223",10,0.2,0.5,0.6,0,0,NA,58789615,2020,"777087000","Real Estate","Large (C+)","Limited Liability Companies","Region Sjælland",604,0.8
"doc_2224",28,0.285714285714286,0.535714285714286,0.5,0.875,0,1,37397776,2022,"909392705","Finance and Insurance","Large (C+)","Limited Liability Companies","Region Hovedstaden",666,0.837209302325581
"doc_2225",11,0.727272727272727,0.272727272727273,0.181818181818182,0.625,0.125,0.8,56470417,2018,"298392000","Trade","Unknown","Limited Liability Companies","Region Hovedstaden",NA,1.35714285714286
"doc_2226",12,0.666666666666667,0.75,0.666666666666667,0.125,0,1,33253923,2022,"-18356000","Finance and Insurance","Small (A-B)","Partnerships","Region Hovedstaden",0,0.952380952380952
"doc_2227",12,0,0.666666666666667,0.416666666666667,NA,NA,NA,13088810,2018,"1731240000","Finance and Insurance","Large (C+)","Associations","Region Sjælland",849,0.6
